date,coffee_arabica
1960-01-01,0.9409
1960-02-01,0.9469
1960-03-01,0.9281
1960-04-01,0.9303
1960-05-01,0.92
1960-06-01,0.9123
1960-07-01,0.916
1960-08-01,0.9292
1960-09-01,0.9226
1960-10-01,0.9237
1960-11-01,0.9116
1960-12-01,0.9006
1961-01-01,0.9145
1961-02-01,0.9167
1961-03-01,0.9105
1961-04-01,0.9017
1961-05-01,0.8929
1961-06-01,0.8891
1961-07-01,0.8929
1961-08-01,0.8935
1961-09-01,0.8891
1961-10-01,0.8852
1961-11-01,0.883
1961-12-01,0.8774
1962-01-01,0.8774
1962-02-01,0.877
1962-03-01,0.8609
1962-04-01,0.8466
1962-05-01,0.8256
1962-06-01,0.8047
1962-07-01,0.8131
1962-08-01,0.819
1962-09-01,0.8256
1962-10-01,0.8109
1962-11-01,0.8124
1962-12-01,0.8179
1963-01-01,0.8267
1963-02-01,0.8031
1963-03-01,0.8109
1963-04-01,0.808
1963-05-01,0.797
1963-06-01,0.7992
1963-07-01,0.8064
1963-08-01,0.8047
1963-09-01,0.802
1963-10-01,0.8042
1963-11-01,0.8069
1963-12-01,0.7998
1964-01-01,0.9259
1964-02-01,0.9414
1964-03-01,1.0351
1964-04-01,1.0042
1964-05-01,1.0203
1964-06-01,1.0053
1964-07-01,1.0214
1964-08-01,1.049
1964-09-01,1.0373
1964-10-01,1.0379
1964-11-01,1.034
1964-12-01,1.0053
1965-01-01,1.0119
1965-02-01,1.0384
1965-03-01,0.9899
1965-04-01,0.9744
1965-05-01,0.9612
1965-06-01,0.9811
1965-07-01,0.9811
1965-08-01,1.0009
1965-09-01,0.9987
1965-10-01,1.0097
1965-11-01,1.0251
1965-12-01,1.0318
1966-01-01,1.0119
1966-02-01,0.9722
1966-03-01,0.9546
1966-04-01,0.9546
1966-05-01,0.9458
1966-06-01,0.9237
1966-07-01,0.9171
1966-08-01,0.9171
1966-09-01,0.8995
1966-10-01,0.8885
1966-11-01,0.8869
1966-12-01,0.8728
1967-01-01,0.8501
1967-02-01,0.8441
1967-03-01,0.8228
1967-04-01,0.8508
1967-05-01,0.8891
1967-06-01,0.9092
1967-07-01,0.9026
1967-08-01,0.8761
1967-09-01,0.8607
1967-10-01,0.8472
1967-11-01,0.8666
1967-12-01,0.8512
1968-01-01,0.866
1968-02-01,0.8691
1968-03-01,0.8821
1968-04-01,0.886
1968-05-01,0.8816
1968-06-01,0.888
1968-07-01,0.8814
1968-08-01,0.8662
1968-09-01,0.8538
1968-10-01,0.8545
1968-11-01,0.8486
1968-12-01,0.8267
1969-01-01,0.8261
1969-02-01,0.8419
1969-03-01,0.8294
1969-04-01,0.8135
1969-05-01,0.8093
1969-06-01,0.795
1969-07-01,0.7776
1969-08-01,0.8126
1969-09-01,0.9026
1969-10-01,1.0401
1969-11-01,1.0247
1969-12-01,1.0479
1970-01-01,1.1369
1970-02-01,1.1453
1970-03-01,1.1711
1970-04-01,1.2028
1970-05-01,1.217
1970-06-01,1.2061
1970-07-01,1.2121
1970-08-01,1.1828
1970-09-01,1.1603
1970-10-01,1.1197
1970-11-01,1.0278
1970-12-01,0.9775
1971-01-01,1.0031
1971-02-01,0.9833
1971-03-01,1.0143
1971-04-01,0.9894
1971-05-01,1.0183
1971-06-01,1.0022
1971-07-01,0.9927
1971-08-01,1.0051
1971-09-01,0.9645
1971-10-01,0.9431
1971-11-01,0.9658
1971-12-01,1.0207
1972-01-01,0.9905
1972-02-01,0.9996
1972-03-01,1.0192
1972-04-01,1.0115
1972-05-01,1.0377
1972-06-01,1.0697
1972-07-01,1.2361
1972-08-01,1.2009
1972-09-01,1.1687
1972-10-01,1.1779
1972-11-01,1.1859
1972-12-01,1.2174
1973-01-01,1.278
1973-02-01,1.4542
1973-03-01,1.4193
1973-04-01,1.291
1973-05-01,1.4151
1973-06-01,1.4147
1973-07-01,1.3567
1973-08-01,1.3307
1973-09-01,1.3272
1973-10-01,1.3779
1973-11-01,1.3931
1973-12-01,1.4235
1974-01-01,1.5304
1974-02-01,1.6466
1974-03-01,1.5754
1974-04-01,1.5498
1974-05-01,1.5657
1974-06-01,1.5898
1974-07-01,1.5232
1974-08-01,1.379
1974-09-01,1.2039
1974-10-01,1.2518
1974-11-01,1.3069
1974-12-01,1.2959
1975-01-01,1.2311
1975-02-01,1.1788
1975-03-01,1.1034
1975-04-01,1.0503
1975-05-01,1.121
1975-06-01,1.233
1975-07-01,1.4478
1975-08-01,1.8404
1975-09-01,1.7831
1975-10-01,1.7723
1975-11-01,1.709
1975-12-01,1.8353
1976-01-01,2.047
1976-02-01,2.1874
1976-03-01,2.1958
1976-04-01,2.7002
1976-05-01,2.9864
1976-06-01,3.2977
1976-07-01,3.0256
1976-08-01,3.3848
1976-09-01,3.5133
1976-10-01,3.8215
1976-11-01,4.0342
1976-12-01,4.566
1977-01-01,4.8272
1977-02-01,5.4119
1977-03-01,6.7058
1977-04-01,7.0036
1977-05-01,6.2889
1977-06-01,5.7781
1977-07-01,4.8488
1977-08-01,4.396
1977-09-01,4.1778
1977-10-01,3.7703
1977-11-01,4.3466
1977-12-01,4.4714
1978-01-01,4.545
1978-02-01,4.3561
1978-03-01,3.8576
1978-04-01,3.9368
1978-05-01,3.7397
1978-06-01,3.7148
1978-07-01,2.9498
1978-08-01,3.0472
1978-09-01,3.4244
1978-10-01,3.3964
1978-11-01,3.2223
1978-12-01,2.8898
1979-01-01,2.8349
1979-02-01,2.7119
1979-03-01,2.8735
1979-04-01,3.0563
1979-05-01,3.3023
1979-06-01,4.2589
1979-07-01,4.4899
1979-08-01,4.353
1979-09-01,4.5717
1979-10-01,4.6207
1979-11-01,4.5574
1979-12-01,4.2831
1980-01-01,3.8078
1980-02-01,3.7102
1980-03-01,4.1173
1980-04-01,4.0528
1980-05-01,4.2315
1980-06-01,4.0503
1980-07-01,3.5164
1980-08-01,3.1001
1980-09-01,2.8559
1980-10-01,2.8373
1980-11-01,2.5986
1980-12-01,2.7172
1981-01-01,2.8894
1981-02-01,2.8517
1981-03-01,2.8574
1981-04-01,2.8887
1981-05-01,2.8329
1981-06-01,2.5104
1981-07-01,2.6691
1981-08-01,2.782
1981-09-01,2.8038
1981-10-01,3.0225
1981-11-01,3.1804
1981-12-01,3.1343
1982-01-01,3.1786
1982-02-01,3.4046
1982-03-01,3.2196
1982-04-01,3.1224
1982-05-01,3.0333
1982-06-01,3.1004
1982-07-01,2.9434
1982-08-01,2.9308
1982-09-01,3.0042
1982-10-01,3.0955
1982-11-01,3.045
1982-12-01,2.9729
1983-01-01,2.8651
1983-02-01,2.7983
1983-03-01,2.7567
1983-04-01,2.7505
1983-05-01,2.8323
1983-06-01,2.8071
1983-07-01,2.8294
1983-08-01,2.8559
1983-09-01,2.9169
1983-10-01,3.1026
1983-11-01,3.187
1983-12-01,3.2333
1984-01-01,3.1683
1984-02-01,3.2168
1984-03-01,3.2699
1984-04-01,3.3116
1984-05-01,3.3124
1984-06-01,3.2474
1984-07-01,3.1771
1984-08-01,3.2121
1984-09-01,3.1356
1984-10-01,3.0175
1984-11-01,3.0911
1984-12-01,3.1041
1985-01-01,3.2053
1985-02-01,3.1764
1985-03-01,3.2602
1985-04-01,3.1189
1985-05-01,3.1458
1985-06-01,3.1281
1985-07-01,2.9778
1985-08-01,2.9427
1985-09-01,2.9427
1985-10-01,3.0979
1985-11-01,3.4315
1985-12-01,4.3422
1986-01-01,5.2441
1986-02-01,5.0307
1986-03-01,5.2823
1986-04-01,4.9833
1986-05-01,4.6592
1986-06-01,3.9039
1986-07-01,3.7988
1986-08-01,3.8345
1986-09-01,4.4011
1986-10-01,3.9152
1986-11-01,3.4545
1986-12-01,3.0034
1987-01-01,2.7234
1987-02-01,2.6645
1987-03-01,2.2877
1987-04-01,2.3712
1987-05-01,2.586
1987-06-01,2.3176
1987-07-01,2.2023
1987-08-01,2.2531
1987-09-01,2.4365
1987-10-01,2.6319
1987-11-01,2.7884
1987-12-01,2.7972
1988-01-01,2.8223
1988-02-01,3.0544
1988-03-01,3.0104
1988-04-01,3.0075
1988-05-01,3.0567
1988-06-01,3.1718
1988-07-01,3.1299
1988-08-01,2.9228
1988-09-01,3.0391
1988-10-01,2.9502
1988-11-01,2.9848
1988-12-01,3.2546
1989-01-01,3.3563
1989-02-01,3.0854
1989-03-01,3.0966
1989-04-01,3.172
1989-05-01,3.0993
1989-06-01,2.7628
1989-07-01,1.942
1989-08-01,1.7308
1989-09-01,1.7289
1989-10-01,1.5135
1989-11-01,1.5624
1989-12-01,1.5977
1990-01-01,1.6761
1990-02-01,1.8508
1990-03-01,2.0885
1990-04-01,2.088
1990-05-01,2.0496
1990-06-01,1.9654
1990-07-01,1.9103
1990-08-01,2.0818
1990-09-01,2.103
1990-10-01,2.019
1990-11-01,1.8678
1990-12-01,1.9661
1991-01-01,1.8945
1991-02-01,1.9667
1991-03-01,2.0628
1991-04-01,2.0273
1991-05-01,1.9375
1991-06-01,1.891
1991-07-01,1.8351
1991-08-01,1.8027
1991-09-01,1.9193
1991-10-01,1.7586
1991-11-01,1.724
1991-12-01,1.6612
1992-01-01,1.6184
1992-02-01,1.5091
1992-03-01,1.5514
1992-04-01,1.4533
1992-05-01,1.3417
1992-06-01,1.3027
1992-07-01,1.2831
1992-08-01,1.1669
1992-09-01,1.1735
1992-10-01,1.3574
1992-11-01,1.4839
1992-12-01,1.7016
1993-01-01,1.5298
1993-02-01,1.4914
1993-03-01,1.4026
1993-04-01,1.2758
1993-05-01,1.3708
1993-06-01,1.3779
1993-07-01,1.5831
1993-08-01,1.6958
1993-09-01,1.7807
1993-10-01,1.6896
1993-11-01,1.7328
1993-12-01,1.7921
1994-01-01,1.7405
1994-02-01,1.8503
1994-03-01,1.9181
1994-04-01,1.9967
1994-05-01,2.687
1994-06-01,3.1621
1994-07-01,4.8256
1994-08-01,4.4189
1994-09-01,4.8943
1994-10-01,4.45
1994-11-01,4.0325
1994-12-01,3.7157
1995-01-01,3.8056
1995-02-01,3.7431
1995-03-01,3.9558
1995-04-01,3.8449
1995-05-01,3.7701
1995-06-01,3.4059
1995-07-01,3.2112
1995-08-01,3.3777
1995-09-01,2.9643
1995-10-01,2.8058
1995-11-01,2.7613
1995-12-01,2.3422
1996-01-01,2.4394
1996-02-01,2.7357
1996-03-01,2.6641
1996-04-01,2.7227
1996-05-01,2.8499
1996-06-01,2.7659
1996-07-01,2.7
1996-08-01,2.7827
1996-09-01,2.6169
1996-10-01,2.7381
1996-11-01,2.7353
1996-12-01,2.5798
1997-01-01,2.9291
1997-02-01,3.7119
1997-03-01,4.2924
1997-04-01,4.5633
1997-05-01,5.8923
1997-06-01,4.8947
1997-07-01,4.1978
1997-08-01,4.2064
1997-09-01,4.1859
1997-10-01,3.6963
1997-11-01,3.5333
1997-12-01,3.9119
1998-01-01,3.9198
1998-02-01,3.9282
1998-03-01,3.4756
1998-04-01,3.3146
1998-05-01,3.0362
1998-06-01,2.7542
1998-07-01,2.5926
1998-08-01,2.7163
1998-09-01,2.4659
1998-10-01,2.4189
1998-11-01,2.5655
1998-12-01,2.588
1999-01-01,2.4903
1999-02-01,2.3254
1999-03-01,2.3234
1999-04-01,2.2511
1999-05-01,2.4487
1999-06-01,2.3636
1999-07-01,2.0911
1999-08-01,2.0144
1999-09-01,1.8587
1999-10-01,2.0768
1999-11-01,2.4996
1999-12-01,2.7439
2000-01-01,2.4496
2000-02-01,2.2805
2000-03-01,2.2207
2000-04-01,2.0858
2000-05-01,2.0756
2000-06-01,1.9057
2000-07-01,1.9257
2000-08-01,1.6958
2000-09-01,1.6707
2000-10-01,1.6901
2000-11-01,1.5772
2000-12-01,1.4586
2001-01-01,1.4546
2001-02-01,1.4813
2001-03-01,1.4661
2001-04-01,1.4579
2001-05-01,1.526
2001-06-01,1.4088
2001-07-01,1.2946
2001-08-01,1.3166
2001-09-01,1.2802
2001-10-01,1.2434
2001-11-01,1.2974
2001-12-01,1.2505
2002-01-01,1.2842
2002-02-01,1.3034
2002-03-01,1.4213
2002-04-01,1.4425
2002-05-01,1.3536
2002-06-01,1.2912
2002-07-01,1.2452
2002-08-01,1.1964
2002-09-01,1.3375
2002-10-01,1.4491
2002-11-01,1.5404
2002-12-01,1.4145
2003-01-01,1.445569
2003-02-01,1.464088
2003-03-01,1.361353
2003-04-01,1.426169
2003-05-01,1.460781
2003-06-01,1.3457
2003-07-01,1.387808
2003-08-01,1.408532
2003-09-01,1.464099
2003-10-01,1.417571
2003-11-01,1.373037
2003-12-01,1.429917
2004-01-01,1.603420126
2004-02-01,1.680140902
2004-03-01,1.720926372
2004-04-01,1.663165328
2004-05-01,1.697336938
2004-06-01,1.812418102
2004-07-01,1.652142228
2004-08-01,1.622820782
2004-09-01,1.774057714
2004-10-01,1.77582141
2004-11-01,1.990110474
2004-12-01,2.295450344
2005-01-01,2.362470792
2005-02-01,2.664503732
2005-03-01,2.976898386
2005-04-01,2.855644286
2005-05-01,2.830070694
2005-06-01,2.671117592
2005-07-01,2.423538766
2005-08-01,2.38539884
2005-09-01,2.193376438
2005-10-01,2.31595331
2005-11-01,2.375257588
2005-12-01,2.331826574
2006-01-01,2.73813804
2006-02-01,2.626143344
2006-03-01,2.505771092
2006-04-01,2.544572404
2006-05-01,2.410972432
2006-06-01,2.27406553
2006-07-01,2.314851
2006-08-01,2.463221926
2006-09-01,2.421334146
2006-10-01,2.438971106
2006-11-01,2.695588874
2006-12-01,2.831613928
