date,currency,rate
2025-08-18,BRL,5.437299
2025-08-18,EUR,0.856975
2025-08-18,CLP,964.189733
2025-08-17,BRL,5.401899
2025-08-17,EUR,0.854259
2025-08-17,CLP,964.101791
2025-08-16,BRL,5.400904
2025-08-16,EUR,0.85425
2025-08-16,CLP,963.170396
2025-08-15,BRL,5.400904
2025-08-15,EUR,0.85425
2025-08-15,CLP,963.170396
2025-08-14,BRL,5.410598
2025-08-14,EUR,0.85832
2025-08-14,CLP,966.010014
2025-08-13,BRL,5.392698
2025-08-13,EUR,0.85379
2025-08-13,CLP,953.120167
2025-08-12,BRL,5.402703
2025-08-12,EUR,0.856399
2025-08-12,CLP,956.850227
2025-08-11,BRL,5.4438
2025-08-11,EUR,0.860797
2025-08-11,CLP,969.189658
2025-08-10,BRL,5.433802
2025-08-10,EUR,0.85855
2025-08-10,CLP,968.280058
2025-08-09,BRL,5.431804
2025-08-09,EUR,0.858504
2025-08-09,CLP,970.26737
2025-08-08,BRL,5.431804
2025-08-08,EUR,0.858504
2025-08-08,CLP,969.150396
2025-08-07,BRL,5.415803
2025-08-07,EUR,0.856465
2025-08-07,CLP,970.330169
2025-08-06,BRL,5.4604
2025-08-06,EUR,0.85744
2025-08-06,CLP,974.84972
2025-08-05,BRL,5.5045
2025-08-05,EUR,0.86366
2025-08-05,CLP,966.8501
2025-08-04,BRL,5.497597
2025-08-04,EUR,0.86329
2025-08-04,CLP,966.779713
2025-08-03,BRL,5.5394
2025-08-03,EUR,0.8631
2025-08-03,CLP,958.992278
2025-08-02,BRL,5.538804
2025-08-02,EUR,0.86255
2025-08-02,CLP,958.992278
2025-08-01,BRL,5.538804
2025-08-01,EUR,0.86255
2025-08-01,CLP,969.330396
2025-07-31,BRL,5.600299
2025-07-31,EUR,0.87541
2025-07-31,CLP,972.700915
2025-07-30,BRL,5.576902
2025-07-30,EUR,0.87499
2025-07-30,CLP,981.929819
2025-07-29,BRL,5.574698
2025-07-29,EUR,0.86578
2025-07-29,CLP,960.740076
2025-07-28,BRL,5.588299
2025-07-28,EUR,0.86235
2025-07-28,CLP,959.060215
2025-07-27,BRL,5.566698
2025-07-27,EUR,0.850615
2025-07-27,CLP,948.818998
2025-07-26,BRL,5.561504
2025-07-26,EUR,0.851304
2025-07-26,CLP,948.818998
2025-07-25,BRL,5.561504
2025-07-25,EUR,0.851304
2025-07-25,CLP,956.830396
2025-07-24,BRL,5.5215
2025-07-24,EUR,0.85066
2025-07-24,CLP,950.249619
2025-07-23,BRL,5.517901
2025-07-23,EUR,0.84935
2025-07-23,CLP,948.560072
2025-07-22,BRL,5.565403
2025-07-22,EUR,0.85188
2025-07-22,CLP,950.730006
2025-07-21,BRL,5.567009
2025-07-21,EUR,0.85512
2025-07-21,CLP,954.120369
2025-07-20,BRL,5.579605
2025-07-20,EUR,0.85983
2025-07-20,CLP,963.890304
