period_type,period,avg_daily_volume
Annual,2023,131.14465521528783
Annual,2024,128.7044429857123
Annual,2025,125.69868495806442
Monthly,2023-01,122.73038579722152
Monthly,2023-02,118.76970349697716
Monthly,2023-03,126.93338837011756
Monthly,2023-04,133.2256170821944
Monthly,2023-05,141.28193380025513
Monthly,2023-06,140.28627940406074
Monthly,2023-07,144.18942450709983
Monthly,2023-08,122.1797519889989
Monthly,2023-09,129.71615838984596
Monthly,2023-10,146.36082224029624
Monthly,2023-11,111.90728013500669
Monthly,2023-12,134.65291927444488
Monthly,2024-01,135.14011177663158
Monthly,2024-02,148.77576599833566
Monthly,2024-03,135.05293807842233
Monthly,2024-04,140.8987063016786
Monthly,2024-05,118.81229842995275
Monthly,2024-06,133.65126356737724
Monthly,2024-07,137.9710562464415
Monthly,2024-08,109.82278389555857
Monthly,2024-09,121.99455701685538
Monthly,2024-10,118.29237915425286
Monthly,2024-11,135.71351347709137
Monthly,2024-12,110.18545525515592
Monthly,2025-01,146.53092815679665
Monthly,2025-02,114.8575239330038
Monthly,2025-03,132.74815806607756
Monthly,2025-04,117.10267769447476
Monthly,2025-05,121.2840852576332
Monthly,2025-06,136.1825083852111
Monthly,2025-07,125.04374756261909
Monthly,2025-08,100.12871097240063
